,idx,src,mt,type
691880,562175,"Wenn Sie könnten Mini's Mango-Bauern geerntet werden, so bitte vorstellen.","If you could harvest Mini's mango farmers, please present.",TO ANNOTATE
1693067,1199505,"Das Muster, welches durch Jahrringe, Markstrahlen, ste, Abweichungen von der geraden Faserrichtung wie Wechseldrehwuchs, Wimmerwuchs, und unregelm ige F rbung entsteht.","The pattern created by year rings, mark rays, stems, deviations from the straight fiber direction such as rotary rotary rotary rotary growth, and irregular adhesion.",TO ANNOTATE
1704009,478881,BEGUTACHTUNG DER EINZELSTAATLICHEN GESETZLICHEN REGELUNGEN ZUR BEKÄMPFUNG DES TERRORISMUS UND IHRER ANWENDUNG,USE OF THE INTRODUCTIVE REGULATIONS OF THE TERRORISM AND YOUR IMPLIED,TO ANNOTATE
743341,789846,"Atopie, zumal es dazu neigen, Menschen zu später oder Pigmentierung oder Schäden.","Atopia, especially since it tends to cause people to pigment or damage later on.",TO ANNOTATE
1286607,1783689,"Dies gilt insbesondere f r Sch den infolge grober Fahrl ssigkeit, Vorsatz oder Nichtbeachtung der Vertragsbedingungen sowie f r etwaige Folgesch den.","This applies in particular to Sch, as a result of gross negligence, wilful intent or non-compliance with the terms of the contract, as well as for any follow-up to the .",TO ANNOTATE
1242156,698745,") Und schließlich merkt auch der Müllmann sofort, ob die Verpackung des bequemen Fertiggerichtes in der richtigen Tonne gelandet ist.",") And finally, the garbageman immediately realizes whether the packaging of the comfortable ready-made light has landed in the right tonne.",TO ANNOTATE
625914,934188,"Änderung der Atmosphäre-side-Sauce, dass Subfocus Dallas schickt.",Change of the atmosphereside sauce that Subfocus Dallas sends.,TO ANNOTATE
1868029,1924006,"Dieser Mann, unter dessen Führung alle vier Schränke gecrast meiner Meinung nach kaum auf Vertrauen und Sympathie in der Bevölkerung stützen ... Ich höre sogar überzeugt, CDA-ERS, dass sie glauben, sie zu beenden und eine andere Partei auf 9. Juni 2010 zu stimmen, Während diese B-Story von moddert.","This man, under whose leadership all four cabinets crast scarcely, in my opinion, rely on trust and sympathy among the population ... I even hear convinced CDA-ERS that they believe to end them and vote another party on June 9, 2010, while this B story changes.",TO ANNOTATE
201439,1292129,Der englische Text wiederum von ostracising .,The English text in turn from ostracising .,TO ANNOTATE
371829,982673,"Abgeschlossen, indem Sie die Schokolade grob gehackt.",Closed by chocolates rough hacked.,CONTROL HALL
1469386,147363,"Zusammenfassung: Der vorliegende Beitrag beschäftigt sich mit der Frage, ob Frühgeburtlichkeit an sich das spätere Verhalten des Kindes bestimmen kann, insbesondere im Hinblick auf die motorische Steuerungsfähigkeit.","Summary: Der hier Beitrag sich mit der Question, ob prematuregeburtlichkeit an sich das latere behaviour des Kinder can determine, especially im Rahmen auf die motorische Governanceungskraft.",CONTROL HALL
268530,766274,Lucio nur aufwecken um 1 Uhr nachts.,The staff were very friendly and helpful.,CONTROL HALL
96516,608532,Genug der Gefälligkeiten.,Satisfaction was enough.,CONTROL HALL
324222,1786474,Kann ich eine eigene Mütze auf den helt aufziehen?,Can I put my own cap on the helt?,TO ANNOTATE
422205,36552,Doch Schadenfreude seitens der Nicht-Amerikaner ist fehl am Platz.,"But non-Americans"" havoc is out of place.",TO ANNOTATE
249833,1807838,Das sei der Ratsmacht mit auf den Weg gegeben.,That is what the Council's power is doing.,TO ANNOTATE
310125,54675,"Entdecken Sie den Naturisten, der in Ihnen schlummert...",Discover the natureists who slip in you...,TO ANNOTATE
245322,802977,Jedenfalls kamen am nächsten Tag in Christchurch.,"In any case, the next day came to Christ.",TO ANNOTATE
990681,387010,"Diese ""fehlenden Platzes"" in den Bäumen sind, wenn bei den anderen Teilen Kit hat Shorts Tucano.","These ""missing places"" in the trees are if at the other parts kit has Shorts Tucano.",TO ANNOTATE
1226253,920004,"Mein Herr musste noch zu einem Termin und damit ich mich nicht selber befriedigen konnte, hatte er mein Schrittreissverschluß mit einem Schloss versehen.","My Lord had to have a meeting and, in order for me not to be able to satisfy myself, he had given my Schrittreisser's Conflict a castle.",TO ANNOTATE
329487,458695,"Später an dieser Küste hat es ihnen gefallen, dass seinen Wohnsitz.",Later on this coast they liked that his residence.,TO ANNOTATE
50561,1029646,Vom Rat angenommen wurden,The Council adopted:,TO ANNOTATE
1786005,1886560,"Wie in Brasilien auf einer kleinen Charge ist schon ein bisschen zweifelhaften Verfahren, sondern auch nach Brasilien [i] mehr [/ i] von dem Hügel, trotz der Tatsache, dass mindestens die Hälfte des Wurfes Flipper - es ist wirklich leichtsinnig.","As in Brazil on a small charge is already a somewhat dubious process, but also to Brazil [i] more [/ i] of the hill, despite the fact that at least half of the litter flipper - it is really reckless.",TO ANNOTATE
690802,655196,"Mit warmem Wasser aufschäumen und kurz einwirken lassen, danach gut ausspülen.","Add warm water to the water and have a short effect, then spoil it.",CONTROL HALL
240405,272954,Gibt es von der Wohnung 50 Meter auf dem Recht.,Is there from the apartment 50 meters on the right.,TO ANNOTATE
1402971,1644832,Dass das Metall Amulett sagte am Kerze schmelzen In der Lap ด a ¤ Gnade im Sakrament und vermeiden ใธ NME.,That the metal Amulett said on the candle melt In the Lap ~ a − grace in sacrament and avoid ~~~number NME.,TO ANNOTATE
1025766,322840,"Und da ist es zur Sonn gangen, und wie es zur Sonn kam, war's ein verwelkt Sonneblum.","And there is sunbathing, and how it came to sunbathing was a spoilt sunflower.",TO ANNOTATE
339975,1640489,Telemedizin kann den Feind wurde mit Magisches Geschoss.,Telemedicine can be the enemy has been with magical missile.,TO ANNOTATE
1868871,1086278,"Schlüsselwörter schön gefärbt sind, wie in Visual Studio die Farbe des Meeres, sondern werden kontinuierlich gl_Position wie in pink gefärbt ist ein wenig zu viel ... im schlimmsten Fall konnte ich nicht finden die Möglichkeit, die Farbe der farbigen ändern, także musimy mit Live die Farbe Rosa .","Keywords beautifully coloured as in Visual Studio are the color of the sea, but are continuously gl_position as coloured in pink is a little too much ... in the worst case I could not find the possibility to change the color of color, także musimy with live the color Rosa .",TO ANNOTATE
1246784,868783,"Strecken-Beschaffenheit: Sanfte Anstiege auf sonst ebener, nur für Radler freigegebener Straße rund um den Achensee.","Ride-manufacture: soft uphill on otherwise level, only road around Lake Achensee opened for cyclists.",TO ANNOTATE
772398,433925,Eeeeeendlich habe ich meinen vormals gehackten Youtubekanal wieder.,Eeeendlich ich mich vorhackten Youtubekanal wieder.,TO ANNOTATE
1177881,1500111,"Florian: Ich wusste, ich würde gut daran tun, .... geben Sie den WEP des Volkes dass he'm werde leicht reißen ....",Florian: I knew I would do well .... give the WFP of the people that he'm will easily tear ....,TO ANNOTATE
650495,1685781,"Sie ist es aber bei den Armen, den Unberührbaren, den Proleten.","But it is the poor, the uncontaminated, the proverbial.",TO ANNOTATE
699880,1807939,Aber dieses concretization lässt uns eine Zufriedenheit dieses Nr. gekauft Gegenstand; anbieten nicht uns s.,But this concretization leaves us a satisfaction of this number bought object; do not offer us s.,TO ANNOTATE
562293,1783556,Die ersten Erwaehnungen an der Stadt verhalten sich zum V. Jh.,The first increases in the city are in line with the V.J.,CONTROL HALL
1897166,1140418,"Das heißt auf 15 cm Absätzen laufen ich ja mittlerweile relativ sicher, aber ich habe noch so tolle 18er, wo ich noch ziemlich eiere:-) Erst dachte ich ja, dass mein Füße zu kurz sind, denn sie haben ja nur eine Länge von Größe 38, aber dann habe ich festgestellt, wenn die Schuhe nur breit genug sind, dann gehts.","This means that I am running on 15 cm paragraphs now, but I still have some great 18s where I still have some egg:-) First I thought that my feet were too short, because they only have a size 38 in length, but then I noticed that if the shoes are only wide enough, then hunt.",TO ANNOTATE
253848,757909,Außerdem können sie die im Zentrum der Anlage u mehr...,You can also visit the centre of the complex more...,TO ANNOTATE
287445,1880952,Das Scheu Cello ist unser Einsteigerlaufwerk.,The Scheu Cello is our entry-level drive.,TO ANNOTATE
1411215,94258,VERSCHÄRFUNG DER PASSKONTROLLVERFAHREN BEI DER EINREISE IN DEN SCHENGEN-RAUM 9,PRESIDENCY OF PASSKONTROLDUCTIONS FOR THE INREISE IN THE SCHENGENRAUM 9,TO ANNOTATE
266453,188220,Das Teilabonnement für international tätige Juristen.,The sub-sub-sub-sub-scription for international lawyers.,TO ANNOTATE
199201,1804112,"Typ - kann put ""unter dem Arm sein.","Type - can be put ""under the arm.",TO ANNOTATE
91006,1891116,Was haben diese Länder gemeinsam?,What do these countries have in common?,GOOD
147415,195881,"ERSUCHT er die Kommission,","DECISIONS THE Commission,",TO ANNOTATE
994613,658156,"Ihre Entscheidung (zu denken, stellen einen Sitz englische Ausgabe) I Highlights eines Rahmens leider nicht aufregend die italienische dritten Sektor.",Your decision (to think a seat English edition) I highlights of a frame unfortunately not exciting the Italian third sector.,TO ANNOTATE
734829,1293824,Enthält Kreatin und Vitargo (R) für einen schnellen Kreatin-Transport.,Contains creative and Vitargo (R) for fast creative transport.,TO ANNOTATE
261287,550546,"Ersucht die Mitgliedstaaten, im Rahmen ihrer ZuständigkeitEN",Search for Member States within their competence,TO ANNOTATE
1432305,1308848,"Wenn Sie das Produkt suchen, aber es ist nicht auf unserer Seite .Dann allgemeine tragen wir mit dem Posten im Moment nicht , aber wir werden mehr neue Spiele in der Zukunft liefern.","If you are looking for the product, but it is not on our site .",TO ANNOTATE
681071,31402,Der Kurs ist in der Regel Skibbereen vor allem außerhalb der Hauptverkehrszeiten touristischen Monate.,"The course is usually ski-bike months, especially outside the main tourist hours.",CONTROL HALL
1038672,1488997,Zudem können die im Rahmen einer Umbaumaßnahme zu ermittelnden Abbruch- und Neubaumengen sehr schnell ausgewertet werden.,"In addition, the demolition and neubaumen genes to be determined in the context of a redevelopment can be evaluated very quickly.",TO ANNOTATE
1554583,329574,"In Abschnitt ist es ratsam, die B den durch Zwischenschalten Schichten bewohnt isolieren sind nicht geheizt, um die Wohnr ume aus dem Boden zu trennen und zu decken.",In section it is advisable to isolate the B inhabited by intermediate layers are not heated to separate and cover the residential areas from the ground.,TO ANNOTATE
1527443,218005,"Wenn dieser zu bräunen beginnt, den Knoblauch entfernen und die geputzten, gewaschenen und blättrig geschnittenen Pilze zugeben.10 Minuten dünsten.","When it starts to brown, remove the garlic and give the pumped, washed and flattened mushrooms.10 minutes thinner.",TO ANNOTATE
54237,923384,Das bedeutet Transparenz.,This means transparency.,GOOD
581803,408172,"Von, wo du weg erhältst, ist die Wohnung 50 Meter dort an vom Recht.","From where you get away, the apartment is 50 meters there from the right.",TO ANNOTATE
289014,1926866,Korsett presst Brautgröße in weißem ...,Korsett presses bride size in white ...,TO ANNOTATE
1939748,333275,"Dort, das Gerücht des Winds hörend, der in den Hüften der Göttin seine feine Tunika anpasste, das Zittern der Erde unter seinem überzeugenden fühlend, zu gehen, seinen Blick sehend, (weil wenig einführt, dass seine Augen bis unsere Tage) herausfordernd nicht gekommen sind, und ich den den Blitzlichtern fremden Vítores der Sieger, anderer Touristen hörend, verstehen konnte, was Muriel Barbery in Der Eleganz des Igels befestigt: Dass die Kunst uns überrascht, ohne es vorausgesehen zu haben, der ""eine Lust ohne Wunsch, ein Vorhandensein ohne Dauer, eine Schönheit ohne Willenskraft ist"".","There, listening to the rumour of the wind, which in the hips of the goddess adapted its fine tunics, the trembling of the earth beneath his convincing feeling to go, seeing his gaze, (because little introduces that his eyes have not arrived until our days) challenging, and I could understand the vítores of the victors, foreign to the lightning lights, listening to other tourists, what fortifies Muriel Barbery in The elegance of the Angel: that art surprised us without having anticipated it, which is ""a desire without desire to exist without any lasting, a beauty without willpower.""",TO ANNOTATE
336853,1604419,JAN: Dadurch werden die Sachen wie aus einem Guss.,JAN: This makes things like a cast.,TO ANNOTATE
1758761,1434258,"Der Nußknacker schoß Purzelbäume, und der Griffel belustigte sich auf der Tafel; es war ein Lärm, daß der Kanarienvogel davon erwachte und anfing mitzusprechen, und zwar in Versen.","The nutscracker lapsed shortle trees, and the handle was lusting on the table; it was a noise that the canary bird awakened and began to talk about, in verses.",TO ANNOTATE
78455,371111,Wie kann das möglich sein?,How can this be possible?,GOOD
90548,633750,Wie können wir dies erreichen?,How can we achieve this?,GOOD
562079,1621188,Noch lauwarm mit geschmolzener Schokoladenglasur bemalen.,Paint still loud with melted chocolate glass.,TO ANNOTATE
201974,946087,So ist es Texy Absatz betrachtet als eins.,Thus it is Texy paragraph considered one.,TO ANNOTATE
1411016,580895,RECHTSSTELLUNG DER LANGFRISTIG AUFENTHALTSBERECHTIGTEN DRITTSTAATSANGEHÖRIGEN,LEGISLATION OF LANGFRISTIGENTS ONFENTHALTSBERECHTY THIRD STATE,TO ANNOTATE
570076,452717,Stoppen Sie den DNAliens immer die Mächtigen Humungousaur.,Always stop the DNAliens the powerful humungousurs.,TO ANNOTATE
115777,1011381,Das Unglück hat also nichts genutzt.,So the accident did not work.,TO ANNOTATE
289214,1309999,Austern können flach gehalten oder hohl einer Woche ...,Oysters can keep flat or hollow a week ...,TO ANNOTATE
620079,859712,"Wenn Sie nicht anreisen oder abreisen, um dieses Mal, wenn Sie so sagen sollte.","If you do not arrive or leave, this time if you should say so.",TO ANNOTATE
